Age2,Age,Workclass,fnlwgt,Education,Education-num,Marrital-Status,Occupation,Relationship,Race,Sex,Capital-Gain,Capital-Loss,Hours-Per-Week,Native-Country,Income
0,59, Private,109015,0,9, Divorced, Tech-support, Unmarried, White,1,0,0,40, United-States,0
0,56, Local-gov,216851,1,13, Married-civ-spouse, Tech-support, Husband, White,0,0,0,40, United-States,1
1,19, Private,168294,0,9, Never-married, Craft-repair, Own-child, White,0,0,0,40, United-States,0
0,54, ?,180211,0,10, Married-civ-spouse, ?, Husband, Asian-Pac-Islander,0,0,0,60, South,1
1,39, Private,367260,0,9, Divorced, Exec-managerial, Not-in-family, White,0,0,0,80, United-States,0
0,49, Private,193366,0,9, Married-civ-spouse, Craft-repair, Husband, White,0,0,0,40, United-States,0
1,23, Local-gov,190709,1,12, Never-married, Protective-serv, Not-in-family, White,0,0,0,52, United-States,0
1,20, Private,266015,0,10, Never-married, Sales, Own-child, Black,0,0,0,44, United-States,0
0,45, Private,386940,1,13, Divorced, Exec-managerial, Own-child, White,0,0,1408,40, United-States,0
1,30, Federal-gov,59951,0,10, Married-civ-spouse, Adm-clerical, Own-child, White,0,0,0,40, United-States,0
1,22, State-gov,311512,0,10, Married-civ-spouse, Other-service, Husband, Black,0,0,0,15, United-States,0
0,48, Private,242406,0,7, Never-married, Machine-op-inspct, Unmarried, White,0,0,0,40, Puerto-Rico,0
1,21, Private,197200,0,10, Never-married, Machine-op-inspct, Own-child, White,0,0,0,40, United-States,0
1,19, Private,544091,0,9, Married-AF-spouse, Adm-clerical, Wife, White,1,0,0,25, United-States,0
1,31, Private,84154,0,10, Married-civ-spouse, Sales, Husband, White,0,0,0,38, ?,1
0,48, Self-emp-not-inc,265477,1,12, Married-civ-spouse, Prof-specialty, Husband, White,0,0,0,40, United-States,0
1,31, Private,507875,0,5, Married-civ-spouse, Machine-op-inspct, Husband, White,0,0,0,43, United-States,0
0,53, Self-emp-not-inc,88506,1,13, Married-civ-spouse, Prof-specialty, Husband, White,0,0,0,40, United-States,0
1,24, Private,172987,1,13, Married-civ-spouse, Tech-support, Husband, White,0,0,0,50, United-States,0
0,49, Private,94638,0,9, Separated, Adm-clerical, Unmarried, White,1,0,0,40, United-States,0
1,25, Private,289980,0,9, Never-married, Handlers-cleaners, Not-in-family, White,0,0,0,35, United-States,0
0,57, Federal-gov,337895,1,13, Married-civ-spouse, Prof-specialty, Husband, Black,0,0,0,40, United-States,1
0,53, Private,144361,0,9, Married-civ-spouse, Machine-op-inspct, Husband, White,0,0,0,38, United-States,0
0,44, Private,128354,1,14, Divorced, Exec-managerial, Unmarried, White,1,0,0,40, United-States,0
0,41, State-gov,101603,1,11, Married-civ-spouse, Craft-repair, Husband, White,0,0,0,40, United-States,0
1,29, Private,271466,1,11, Never-married, Prof-specialty, Not-in-family, White,0,0,0,43, United-States,0
1,25, Private,32275,0,10, Married-civ-spouse, Exec-managerial, Wife, Other,1,0,0,40, United-States,0
1,18, Private,226956,0,9, Never-married, Other-service, Own-child, White,1,0,0,30, ?,0
0,47, Private,51835,1,15, Married-civ-spouse, Prof-specialty, Wife, White,1,0,1902,60, Honduras,1
0,50, Federal-gov,251585,1,13, Divorced, Exec-managerial, Not-in-family, White,0,0,0,55, United-States,1
0,47, Self-emp-inc,109832,0,9, Divorced, Exec-managerial, Not-in-family, White,0,0,0,60, United-States,0
0,43, Private,237993,0,10, Married-civ-spouse, Tech-support, Husband, White,0,0,0,40, United-States,1
0,46, Private,216666,0,3, Married-civ-spouse, Machine-op-inspct, Husband, White,0,0,0,40, Mexico,0
1,35, Private,56352,1,11, Married-civ-spouse, Other-service, Husband, White,0,0,0,40, Puerto-Rico,0
0,41, Private,147372,0,9, Married-civ-spouse, Adm-clerical, Husband, White,0,0,0,48, United-States,0
1,30, Private,188146,0,9, Married-civ-spouse, Machine-op-inspct, Husband, White,0,5013,0,40, United-States,0
1,30, Private,59496,1,13, Married-civ-spouse, Sales, Husband, White,0,2407,0,40, United-States,0
1,32, ?,293936,0,4, Married-spouse-absent, ?, Not-in-family, White,0,0,0,40, ?,0
0,48, Private,149640,0,9, Married-civ-spouse, Transport-moving, Husband, White,0,0,0,40, United-States,0
0,42, Private,116632,1,16, Married-civ-spouse, Prof-specialty, Husband, White,0,0,0,45, United-States,1
1,29, Private,105598,0,10, Divorced, Tech-support, Not-in-family, White,0,0,0,58, United-States,0
1,36, Private,155537,0,9, Married-civ-spouse, Craft-repair, Husband, White,0,0,0,40, United-States,0
1,28, Private,183175,0,10, Divorced, Adm-clerical, Not-in-family, White,1,0,0,40, United-States,0
0,53, Private,169846,0,9, Married-civ-spouse, Adm-clerical, Wife, White,1,0,0,40, United-States,1
0,49, Self-emp-inc,191681,0,10, Married-civ-spouse, Exec-managerial, Husband, White,0,0,0,50, United-States,1
1,25, ?,200681,0,10, Never-married, ?, Own-child, White,0,0,0,40, United-States,0
1,19, Private,101509,0,10, Never-married, Prof-specialty, Own-child, White,0,0,0,32, United-States,0
1,31, Private,309974,1,13, Separated, Sales, Own-child, Black,1,0,0,40, United-States,0
1,29, Self-emp-not-inc,162298,1,13, Married-civ-spouse, Sales, Husband, White,0,0,0,70, United-States,1
1,23, Private,211678,0,10, Never-married, Machine-op-inspct, Not-in-family, White,0,0,0,40, United-States,0
0,79, Private,124744,0,10, Married-civ-spouse, Prof-specialty, Other-relative, White,0,0,0,20, United-States,0
1,27, Private,213921,0,9, Never-married, Other-service, Own-child, White,0,0,0,40, Mexico,0
0,40, Private,32214,1,12, Married-civ-spouse, Adm-clerical, Husband, White,0,0,0,40, United-States,0
0,67, ?,212759,0,6, Married-civ-spouse, ?, Husband, White,0,0,0,2, United-States,0
1,18, Private,309634,0,7, Never-married, Other-service, Own-child, White,1,0,0,22, United-States,0
1,31, Local-gov,125927,0,4, Married-civ-spouse, Farming-fishing, Husband, White,0,0,0,40, United-States,0
1,18, Private,446839,0,9, Never-married, Sales, Not-in-family, White,0,0,0,30, United-States,0
0,52, Private,276515,1,13, Married-civ-spouse, Other-service, Husband, White,0,0,0,40, Cuba,0
0,46, Private,51618,0,9, Married-civ-spouse, Other-service, Wife, White,1,0,0,40, United-States,0
0,59, Private,159937,0,9, Married-civ-spouse, Sales, Husband, White,0,0,0,48, United-States,0
0,44, Private,343591,0,9, Divorced, Craft-repair, Not-in-family, White,1,14344,0,40, United-States,1
0,53, Private,346253,0,9, Divorced, Sales, Own-child, White,1,0,0,35, United-States,0
0,49, Local-gov,268234,0,9, Married-civ-spouse, Protective-serv, Husband, White,0,0,0,40, United-States,1
1,33, Private,202051,1,14, Married-civ-spouse, Prof-specialty, Husband, White,0,0,0,50, United-States,0
1,30, Private,54334,0,5, Never-married, Sales, Not-in-family, White,0,0,0,40, United-States,0
0,43, Federal-gov,410867,1,16, Never-married, Prof-specialty, Not-in-family, White,1,0,0,50, United-States,1
0,57, Private,249977,1,11, Married-civ-spouse, Prof-specialty, Husband, White,0,0,0,40, United-States,0
1,37, Private,286730,0,10, Divorced, Craft-repair, Unmarried, White,1,0,0,40, United-States,0
1,28, Private,212563,0,10, Divorced, Machine-op-inspct, Unmarried, Black,1,0,0,25, United-States,0
1,30, Private,117747,0,9, Married-civ-spouse, Sales, Wife, Asian-Pac-Islander,1,0,1573,35, ?,0
1,34, Local-gov,226296,1,13, Married-civ-spouse, Protective-serv, Husband, White,0,0,0,40, United-States,1
1,29, Local-gov,115585,0,10, Never-married, Handlers-cleaners, Not-in-family, White,0,0,0,50, United-States,0
0,48, Self-emp-not-inc,191277,1,16, Married-civ-spouse, Prof-specialty, Husband, White,0,0,1902,60, United-States,1
1,37, Private,202683,0,10, Married-civ-spouse, Sales, Husband, White,0,0,0,48, United-States,1
0,48, Private,171095,1,12, Divorced, Exec-managerial, Unmarried, White,1,0,0,40, England,0
1,32, Federal-gov,249409,0,9, Never-married, Other-service, Own-child, Black,0,0,0,40, United-States,0
0,76, Private,124191,1,14, Married-civ-spouse, Exec-managerial, Husband, White,0,0,0,40, United-States,1
0,44, Private,198282,1,13, Married-civ-spouse, Exec-managerial, Husband, White,0,15024,0,60, United-States,1
0,47, Self-emp-not-inc,149116,1,14, Never-married, Prof-specialty, Not-in-family, White,1,0,0,50, United-States,0
1,20, Private,188300,0,10, Never-married, Tech-support, Own-child, White,1,0,0,40, United-States,0
1,29, Private,103432,0,9, Never-married, Craft-repair, Not-in-family, White,0,0,0,40, United-States,0
1,32, Self-emp-inc,317660,0,9, Married-civ-spouse, Craft-repair, Husband, White,0,7688,0,40, United-States,1
1,17, ?,304873,0,6, Never-married, ?, Own-child, White,1,34095,0,32, United-States,0
1,30, Private,194901,0,7, Never-married, Handlers-cleaners, Own-child, White,0,0,0,40, United-States,0
1,31, Local-gov,189265,0,9, Never-married, Adm-clerical, Not-in-family, White,1,0,0,40, United-States,0
0,42, Private,124692,0,9, Married-civ-spouse, Handlers-cleaners, Husband, White,0,0,0,40, United-States,0
1,24, Private,432376,1,13, Never-married, Sales, Other-relative, White,0,0,0,40, United-States,0
1,38, Private,65324,1,15, Married-civ-spouse, Prof-specialty, Husband, White,0,0,0,40, United-States,1
0,56, Self-emp-not-inc,335605,0,9, Married-civ-spouse, Other-service, Husband, White,0,0,1887,50, Canada,1
1,28, Private,377869,0,10, Married-civ-spouse, Sales, Wife, White,1,4064,0,25, United-States,0
1,36, Private,102864,0,9, Never-married, Machine-op-inspct, Own-child, White,1,0,0,40, United-States,0
0,53, Private,95647,0,5, Married-civ-spouse, Handlers-cleaners, Husband, White,0,0,0,50, United-States,0
0,56, Self-emp-inc,303090,0,10, Married-civ-spouse, Sales, Husband, White,0,0,0,50, United-States,0
0,49, Local-gov,197371,1,11, Married-civ-spouse, Craft-repair, Husband, Black,0,0,0,40, United-States,1
0,55, Private,247552,0,10, Married-civ-spouse, Sales, Husband, White,0,0,0,56, United-States,0
1,22, Private,102632,0,9, Never-married, Craft-repair, Not-in-family, White,0,0,0,41, United-States,0
1,21, Private,199915,0,10, Never-married, Other-service, Own-child, White,1,0,0,40, United-States,0
0,40, Private,118853,1,13, Married-civ-spouse, Exec-managerial, Husband, White,0,0,0,60, United-States,0
1,30, Private,77143,1,13, Never-married, Exec-managerial, Own-child, Black,0,0,0,40, Germany,0
1,29, State-gov,267989,1,13, Married-civ-spouse, Prof-specialty, Husband, White,0,0,0,50, United-States,1
1,19, Private,301606,0,10, Never-married, Other-service, Own-child, Black,0,0,0,35, United-States,0
0,47, Private,287828,1,13, Married-civ-spouse, Exec-managerial, Wife, White,1,0,0,40, United-States,1
1,20, Private,111697,0,10, Never-married, Adm-clerical, Own-child, White,1,0,1719,28, United-States,0
1,31, Private,114937,1,12, Married-civ-spouse, Adm-clerical, Husband, White,0,0,0,40, United-States,1
1,35, ?,129305,0,9, Married-civ-spouse, ?, Husband, White,0,0,0,40, United-States,0
1,39, Private,365739,0,10, Divorced, Craft-repair, Not-in-family, White,0,0,0,40, United-States,0
1,28, Private,69621,1,12, Never-married, Sales, Not-in-family, White,1,0,0,60, United-States,0
1,24, Private,43323,0,9, Never-married, Other-service, Not-in-family, White,1,0,1762,40, United-States,0
1,38, Self-emp-not-inc,120985,0,9, Married-civ-spouse, Craft-repair, Husband, White,0,4386,0,35, United-States,0
1,37, Private,254202,1,13, Married-civ-spouse, Sales, Husband, White,0,0,0,50, United-States,0
0,46, Private,146195,1,12, Divorced, Tech-support, Not-in-family, Black,1,0,0,36, United-States,0
1,38, Federal-gov,125933,1,14, Married-civ-spouse, Prof-specialty, Husband, White,0,0,0,40, Iran,1
0,43, Self-emp-not-inc,56920,0,9, Married-civ-spouse, Craft-repair, Husband, White,0,0,0,60, United-States,0
1,27, Private,163127,1,11, Married-civ-spouse, Adm-clerical, Wife, White,1,0,0,35, United-States,0
1,20, Private,34310,0,10, Never-married, Sales, Own-child, White,0,0,0,20, United-States,0
0,49, Private,81973,0,10, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander,0,0,0,40, United-States,1
0,61, Self-emp-inc,66614,0,9, Married-civ-spouse, Craft-repair, Husband, White,0,0,0,40, United-States,0
1,27, Private,232782,0,10, Never-married, Sales, Own-child, White,1,0,0,40, United-States,0
1,19, Private,316868,0,10, Never-married, Other-service, Own-child, White,0,0,0,30, Mexico,0
0,45, Private,196584,1,11, Never-married, Prof-specialty, Not-in-family, White,1,0,1564,40, United-States,1
0,70, Private,105376,0,10, Never-married, Tech-support, Other-relative, White,0,0,0,40, United-States,0
1,31, Private,185814,0,9, Never-married, Transport-moving, Unmarried, Black,1,0,0,30, United-States,0
1,22, Private,175374,0,10, Married-civ-spouse, Other-service, Husband, White,0,0,0,24, United-States,0
1,36, Private,108293,0,9, Widowed, Other-service, Unmarried, White,1,0,0,24, United-States,0
0,64, Private,181232,0,7, Married-civ-spouse, Craft-repair, Husband, White,0,0,2179,40, United-States,0
0,43, ?,174662,0,10, Divorced, ?, Not-in-family, White,1,0,0,40, United-States,0
0,47, Local-gov,186009,0,10, Divorced, Adm-clerical, Unmarried, White,1,0,0,38, Mexico,0
1,34, Private,198183,0,9, Never-married, Adm-clerical, Not-in-family, White,1,0,0,40, United-States,0
1,33, Private,163003,1,13, Never-married, Exec-managerial, Other-relative, Asian-Pac-Islander,1,0,0,40, Philippines,0
1,21, Private,296158,0,9, Never-married, Craft-repair, Own-child, White,0,0,0,35, United-States,0
0,52, ?,252903,0,9, Divorced, ?, Not-in-family, White,0,0,0,45, United-States,1
0,48, Private,187715,0,9, Married-civ-spouse, Craft-repair, Husband, White,0,0,0,46, United-States,0
1,23, Private,214542,1,13, Never-married, Handlers-cleaners, Not-in-family, White,0,0,0,40, United-States,0
0,71, Self-emp-not-inc,494223,0,10, Separated, Sales, Unmarried, Black,0,0,1816,2, United-States,0
1,29, Private,191535,0,9, Divorced, Craft-repair, Not-in-family, White,0,0,0,60, United-States,0
0,42, Private,228456,1,13, Separated, Other-service, Other-relative, Black,0,0,0,50, United-States,0
0,68, ?,38317,0,2, Divorced, ?, Not-in-family, White,1,0,0,20, United-States,0
1,25, Private,252752,0,9, Never-married, Other-service, Unmarried, White,1,0,0,40, United-States,0
0,44, Self-emp-inc,78374,1,14, Divorced, Exec-managerial, Unmarried, Asian-Pac-Islander,1,0,0,40, United-States,0
1,28, Private,88419,0,9, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander,1,0,0,40, England,0
0,45, Self-emp-not-inc,201080,1,14, Married-civ-spouse, Sales, Husband, White,0,0,0,40, United-States,1
1,36, Private,207157,0,10, Divorced, Other-service, Unmarried, White,1,0,0,40, Mexico,0
1,39, Federal-gov,235485,1,12, Never-married, Exec-managerial, Not-in-family, White,0,0,0,42, United-States,0
0,46, State-gov,102628,1,14, Widowed, Protective-serv, Unmarried, White,0,0,0,40, United-States,0
1,18, Private,25828,0,7, Never-married, Handlers-cleaners, Own-child, White,0,0,0,16, United-States,0
0,66, Local-gov,54826,1,11, Widowed, Prof-specialty, Not-in-family, White,1,0,0,20, United-States,0
1,27, Private,124953,0,9, Never-married, Other-service, Not-in-family, White,0,0,1980,40, United-States,0
1,28, State-gov,175325,0,9, Married-civ-spouse, Protective-serv, Husband, White,0,0,0,40, United-States,0
0,51, Private,96062,0,10, Married-civ-spouse, Sales, Husband, White,0,0,1977,40, United-States,1
1,27, Private,428030,1,13, Never-married, Craft-repair, Not-in-family, White,0,0,0,50, United-States,0
1,28, State-gov,149624,1,13, Married-civ-spouse, Prof-specialty, Husband, White,0,0,0,40, United-States,1
1,27, Private,253814,0,9, Married-spouse-absent, Sales, Unmarried, White,1,0,0,25, United-States,0
1,21, Private,312956,0,9, Never-married, Craft-repair, Own-child, Black,0,0,0,40, United-States,0
1,34, Private,483777,0,9, Never-married, Handlers-cleaners, Not-in-family, Black,0,0,0,40, United-States,0
1,18, Private,183930,0,9, Never-married, Other-service, Own-child, White,0,0,0,12, United-States,0
1,33, Private,37274,1,13, Married-civ-spouse, Prof-specialty, Husband, White,0,0,0,65, United-States,0
0,44, Local-gov,181344,0,10, Married-civ-spouse, Exec-managerial, Husband, Black,0,0,0,38, United-States,1
0,43, Private,114580,0,10, Divorced, Adm-clerical, Not-in-family, White,1,0,0,40, United-States,0
1,30, Private,633742,0,10, Never-married, Craft-repair, Not-in-family, Black,0,0,0,45, United-States,0
0,40, Private,286370,0,4, Married-civ-spouse, Machine-op-inspct, Husband, White,0,0,0,40, Mexico,1
1,37, Federal-gov,29054,0,10, Married-civ-spouse, Adm-clerical, Husband, White,0,0,0,42, United-States,1
1,34, Private,304030,0,9, Married-civ-spouse, Adm-clerical, Husband, Black,0,0,0,40, United-States,0
0,41, Self-emp-not-inc,143129,1,13, Divorced, Exec-managerial, Not-in-family, White,1,0,0,40, United-States,0
0,53, ?,135105,1,13, Divorced, ?, Not-in-family, White,1,0,0,50, United-States,0
1,31, Private,99928,1,14, Married-civ-spouse, Prof-specialty, Wife, White,1,0,0,50, United-States,0
0,58, State-gov,109567,1,16, Married-civ-spouse, Prof-specialty, Husband, White,0,0,0,1, United-States,1
1,38, Private,155222,0,10, Divorced, Machine-op-inspct, Not-in-family, Black,1,0,0,28, United-States,0
1,24, Private,159567,0,10, Married-civ-spouse, Machine-op-inspct, Husband, White,0,0,0,40, United-States,0
0,41, Local-gov,523910,1,13, Married-civ-spouse, Craft-repair, Husband, Black,0,0,0,40, United-States,0
0,47, Private,120939,0,10, Married-civ-spouse, Tech-support, Husband, White,0,0,0,45, United-States,0
0,41, Federal-gov,130760,1,13, Married-civ-spouse, Tech-support, Husband, White,0,0,0,24, United-States,0
1,23, Private,197387,0,3, Married-civ-spouse, Transport-moving, Other-relative, White,0,0,0,40, Mexico,0
1,36, Private,99374,0,10, Divorced, Craft-repair, Not-in-family, White,0,0,0,40, United-States,0
0,40, Federal-gov,56795,1,14, Never-married, Exec-managerial, Not-in-family, White,1,14084,0,55, United-States,1
1,35, Private,138992,1,14, Married-civ-spouse, Prof-specialty, Other-relative, White,0,7298,0,40, United-States,1
1,24, Self-emp-not-inc,32921,0,9, Never-married, Sales, Not-in-family, White,0,0,0,40, United-States,0
1,26, Private,397317,1,14, Never-married, Prof-specialty, Not-in-family, White,1,0,1876,40, United-States,0
1,19, ?,170653,0,9, Never-married, ?, Own-child, White,0,0,0,40, Italy,0
0,51, Private,259323,1,13, Married-civ-spouse, Exec-managerial, Husband, White,0,0,0,50, United-States,1
0,42, Local-gov,254817,0,10, Never-married, Prof-specialty, Not-in-family, White,1,0,1340,40, United-States,0
1,37, State-gov,48211,0,9, Divorced, Adm-clerical, Unmarried, White,1,0,0,35, United-States,0
1,18, Private,140164,0,7, Never-married, Sales, Own-child, White,1,0,0,40, United-States,0
1,36, Private,128757,1,13, Married-civ-spouse, Other-service, Husband, Black,0,7298,0,36, United-States,1
1,35, Private,36270,0,9, Divorced, Craft-repair, Not-in-family, White,0,0,0,60, United-States,0
0,58, Self-emp-inc,210563,0,9, Married-civ-spouse, Sales, Wife, White,1,15024,0,35, United-States,1
1,17, Private,65368,0,7, Never-married, Sales, Own-child, White,1,0,0,12, United-States,0
0,44, Local-gov,160943,0,9, Married-civ-spouse, Transport-moving, Husband, Black,0,0,0,40, United-States,0
1,37, Private,208358,0,9, Married-civ-spouse, Craft-repair, Husband, White,0,0,0,40, United-States,1
1,35, Private,153790,0,10, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo,1,0,0,40, United-States,0
0,60, Private,85815,0,9, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander,0,0,0,40, United-States,0
0,54, Self-emp-inc,125417,0,4, Married-civ-spouse, Machine-op-inspct, Husband, White,0,0,0,40, United-States,1
1,37, Private,635913,1,13, Never-married, Exec-managerial, Not-in-family, Black,0,0,0,60, United-States,1
0,50, Private,313321,1,12, Divorced, Sales, Not-in-family, White,1,0,0,40, United-States,0
1,38, Private,182609,1,13, Married-civ-spouse, Sales, Husband, White,0,0,0,50, Poland,0
0,45, Private,109434,1,13, Married-civ-spouse, Prof-specialty, Husband, White,0,0,0,55, United-States,0
1,25, Private,255004,0,6, Never-married, Craft-repair, Not-in-family, White,0,0,0,40, United-States,0
1,31, Private,197860,0,10, Married-civ-spouse, Handlers-cleaners, Husband, White,0,0,0,40, United-States,0
0,64, ?,187656,0,2, Divorced, ?, Not-in-family, White,0,0,0,40, United-States,0
0,90, Private,51744,0,9, Never-married, Other-service, Not-in-family, Black,0,0,2206,40, United-States,0
0,54, Private,176681,0,9, Married-civ-spouse, Adm-clerical, Husband, Black,0,0,0,20, United-States,0
0,53, Local-gov,140359,0,1, Never-married, Machine-op-inspct, Not-in-family, White,1,0,0,35, United-States,0
1,18, Private,243313,0,9, Never-married, Sales, Own-child, White,1,0,0,40, United-States,0
0,60, ?,24215,0,6, Divorced, ?, Not-in-family, Amer-Indian-Eskimo,1,0,0,10, United-States,0
0,66, Self-emp-not-inc,167687,0,9, Married-civ-spouse, Farming-fishing, Husband, White,0,1409,0,50, United-States,0
0,75, Private,314209,1,11, Widowed, Adm-clerical, Not-in-family, White,1,0,0,20, Columbia,0
0,65, Private,176796,0,9, Divorced, Adm-clerical, Not-in-family, White,1,0,0,40, United-States,0
1,35, Private,538583,0,7, Separated, Transport-moving, Not-in-family, Black,0,3674,0,40, United-States,0
0,41, Private,130408,0,9, Divorced, Sales, Unmarried, Black,1,0,0,38, United-States,0
1,25, Private,159732,0,10, Never-married, Adm-clerical, Not-in-family, White,0,0,0,42, United-States,0
1,33, Private,110978,0,10, Divorced, Craft-repair, Other-relative, Other,1,0,0,40, United-States,0
1,28, Private,76714,1,15, Never-married, Prof-specialty, Not-in-family, White,0,0,0,55, United-States,1
0,59, State-gov,268700,0,9, Married-civ-spouse, Other-service, Husband, White,0,0,0,40, United-States,0
0,40, State-gov,170525,0,10, Never-married, Adm-clerical, Not-in-family, White,1,0,0,38, United-States,0
0,41, Private,180138,1,13, Married-civ-spouse, Exec-managerial, Husband, White,0,0,0,50, Iran,1
1,38, Local-gov,115076,1,14, Married-civ-spouse, Exec-managerial, Husband, White,0,0,0,70, United-States,1
1,23, Private,115458,0,9, Never-married, Transport-moving, Own-child, White,0,0,0,40, United-States,0
0,40, Private,347890,1,13, Married-civ-spouse, Prof-specialty, Husband, White,0,0,0,40, United-States,1
0,41, Self-emp-not-inc,196001,0,9, Married-civ-spouse, Other-service, Wife, White,1,0,0,20, United-States,0
1,24, State-gov,273905,1,12, Married-civ-spouse, Protective-serv, Husband, White,0,0,0,50, United-States,0
1,20, ?,119156,0,10, Never-married, ?, Own-child, White,0,0,0,20, United-States,0
1,38, Private,179488,0,10, Divorced, Craft-repair, Not-in-family, White,0,0,1741,40, United-States,0
0,56, Private,203580,0,9, Married-civ-spouse, Adm-clerical, Husband, White,0,0,0,35, ?,0
0,58, Private,236596,0,9, Married-civ-spouse, Adm-clerical, Husband, White,0,0,0,45, United-States,1
1,32, Private,183916,0,9, Never-married, Other-service, Not-in-family, White,1,0,0,34, United-States,0
0,40, Private,207578,1,12, Married-civ-spouse, Tech-support, Husband, White,0,0,1977,60, United-States,1
0,45, Private,153141,0,9, Married-civ-spouse, Adm-clerical, Husband, White,0,0,0,40, ?,0
0,41, Private,112763,1,15, Married-civ-spouse, Prof-specialty, Wife, White,1,0,0,40, United-States,1
0,42, Private,390781,1,13, Married-civ-spouse, Adm-clerical, Wife, Black,1,0,0,40, United-States,0
0,59, Local-gov,171328,0,6, Widowed, Other-service, Unmarried, Black,1,0,0,30, United-States,0
1,19, Local-gov,27382,0,10, Never-married, Adm-clerical, Own-child, White,0,0,0,40, United-States,0
0,58, Private,259014,0,10, Never-married, Transport-moving, Not-in-family, White,0,0,0,20, United-States,0
0,42, Self-emp-not-inc,303044,0,9, Married-civ-spouse, Farming-fishing, Husband, Asian-Pac-Islander,0,0,0,40, Cambodia,1
1,20, Private,117789,0,9, Never-married, Other-service, Own-child, White,1,0,0,40, United-States,0
1,32, Private,172579,0,9, Separated, Other-service, Not-in-family, White,1,0,0,30, United-States,0
0,45, Private,187666,1,11, Widowed, Exec-managerial, Not-in-family, White,1,0,0,45, United-States,0
0,50, Private,204518,0,4, Divorced, Craft-repair, Not-in-family, White,0,0,0,40, United-States,0
1,36, Private,150042,1,13, Divorced, Prof-specialty, Own-child, White,1,0,0,40, United-States,0
0,45, Private,98092,0,9, Married-civ-spouse, Sales, Husband, White,0,0,0,60, United-States,0
1,17, Private,245918,0,7, Never-married, Other-service, Own-child, White,0,0,0,12, United-States,0
0,59, Private,146013,0,10, Married-civ-spouse, Sales, Husband, White,0,4064,0,40, United-States,0
1,26, Private,378322,0,7, Married-civ-spouse, Craft-repair, Husband, White,0,0,0,40, United-States,0
1,37, Self-emp-inc,257295,0,10, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander,0,0,0,75, Thailand,1
1,19, ?,218956,0,10, Never-married, ?, Own-child, White,0,0,0,24, Canada,0
0,64, Private,21174,0,9, Married-civ-spouse, Exec-managerial, Husband, White,0,0,0,40, United-States,1
